AdminName,GeoRegion,GeoSubreg,IncomeGrp,LendCat,VarDesc,UrbanPop,RuralPop,TotalPop,UrbanLA,RuralLA,TotalLA
Rwanda,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,829572.54541,6245486.46462,7075059.01003,1008.43417424,14477.3350396,15485.7692139
Democratic Republic of the Congo,Africa,Middle Africa,Low income,IDA,Elevation between 50 and 100 meters,635.682655454,4287.36319041,4923.04584587,11.7351686358,1613.19355629,1624.92872493
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 800 and 1500 meters,247977.980252,834421.887986,1082399.86824,461.006649435,26164.7325248,26625.7391743
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 100 and 200 meters,36489.7586622,104696.816098,141186.574761,284.404862702,26240.6046912,26525.0095539
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation between 10 and 25 meters,7763.35286814,3005.41611862,10768.7689868,96.8785891966,93.4536316357,190.332220832
Togo,Africa,Western Africa,Low income,IDA,Elevation between 10 and 25 meters,21129.3676999,14222.6328511,35352.000551,97.3881653906,628.945724487,726.333889878
Central African Republic,Africa,Middle Africa,Low income,IDA,Elevation between 400 and 800 meters,4052.71037075,114669.337239,118722.04761,342.262619495,550056.044002,550398.306621
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 200 and 400 meters,3966.61813316,76232.9989209,80199.6170541,153.744810283,8725.54683346,8879.29164374
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 3000 and 5000 meters,3.32369208336,87402.4420224,87405.7657144,0.755764484406,29720.5937457,29721.3495102
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation under 5 meters,2736.29109261,15088.3984102,17824.6895028,120.578580158,1390.01782015,1510.59640031
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 3000 and 5000 meters,1790.07356262,37216.240654,39006.3142166,5.82021826506,206.704557359,212.524775624
Guinea,Africa,Western Africa,Low income,IDA,Elevation between 50 and 100 meters,30119.487636,26533.5666152,56653.0542511,115.175060332,11441.1239561,11556.2990165
